"Site";"Recif_type";"Year";"Month";"Temperature";"sd.Temperature";"depth";"sd.depth";"nb"
"Boueni";"Frangeant";2015;"Dec";29.8328843069874;0.5688624510513;4.36069873997709;0.858658703033892;4365
"Boueni";"Frangeant";2015;"Nov";28.1112838158519;0.439289166052844;4.381867584243;0.877495194735698;4214
"Boueni";"Frangeant";2015;"Oct";27.3257528604119;0.715328550719712;4.39678489702517;0.944941372389901;4370
"Boueni";"Frangeant";2015;"Sept";26.4835205798602;0.30913542762622;4.31762878591768;0.906190271294309;3863
"Double_barriere";"Interne";2015;"Dec";29.2742538636939;0.511708000679684;6.47877375221687;0.844938819055837;3947
"Double_barriere";"Interne";2015;"Nov";27.6539623135305;0.200039531808502;6.50971211724679;0.865144736147671;3821
"Double_barriere";"Interne";2015;"Oct";26.8055332496863;0.402132896474302;6.44737515683814;0.931679662765683;3985
"Double_barriere";"Interne";2015;"Sept";26.4113484111079;0.259847711250823;6.33229315774406;0.905577558012419;3493
"Hajangoua";"Interne";2015;"Dec";29.1735197974217;0.391488266654644;2.13164364640884;0.815495293033536;4344
"Hajangoua";"Interne";2015;"Nov";28.1375703385789;0.345907883277268;2.13089413447783;0.844943962511321;4194
"Hajangoua";"Interne";2015;"Oct";27.3089677419355;0.397556020535348;2.19617050691244;0.893879415139205;4340
"Hajangoua";"Interne";2015;"Sept";26.8513771240172;0.318488718767061;2.15124017245752;0.868608589454097;3943
"Longoni";"Frangeant";2015;"Dec";28.992348728081;0.421235702070235;7.57342800691529;0.811777379975767;4049
"Longoni";"Frangeant";2015;"Nov";27.9940418300654;0.279683918887193;7.59537516339869;0.841820676834291;3825
"Longoni";"Frangeant";2015;"Oct";26.9073692040665;0.55725072440953;7.57652615918671;0.919878198821569;4033
"Longoni";"Frangeant";2015;"Sept";26.5435838629456;0.297499444791208;7.50005526388505;0.878955764702536;3619
"Passe_bateau";"Barriere";2015;"Dec";29.3646136645963;0.534577745390612;3.93525217391304;0.841506679303849;4025
